"NGA-Deaths in Under 5 years"

Year,Cause of death,Estimate,Lower bound,Upper bound
2021,Malaria,180294,121000,265000
2021,Other under-5 deaths,76626,50800,110000
2020,Malaria,183721,129000,262000
2020,Other under-5 deaths,77246,53500,108000
2019,Malaria,172680,127000,234000
2019,Other under-5 deaths,81403,57400,110000
2018,Malaria,170039,129000,223000
2018,Other under-5 deaths,83660,61000,110000
2017,Malaria,167515,130000,213000
2017,Other under-5 deaths,87992,65000,111000
2016,Malaria,162267,127000,206000
2016,Other under-5 deaths,103823,77400,127000
2015,Malaria,160180,130000,195000
2015,Other under-5 deaths,84932,64800,101000
2014,Malaria,155990,129000,186000
2014,Other under-5 deaths,84233,65700,99500
2013,Malaria,157237,133000,185000
2013,Other under-5 deaths,82889,65600,97000
2012,Malaria,162263,139000,187000
2012,Other under-5 deaths,80506,64400,93000
2011,Malaria,174906,149000,202000
2011,Other under-5 deaths,87870,69600,101000
2010,Malaria,189972,164000,218000
2010,Other under-5 deaths,84633,68100,97000
2009,Malaria,207750,181000,236000
2009,Other under-5 deaths,71927,59400,82900
2008,Malaria,219732,185000,248000
2008,Other under-5 deaths,69839,57200,79200
2007,Malaria,227977,195000,260000
2007,Other under-5 deaths,75659,62200,87000
2006,Malaria,231222,200000,262000
2006,Other under-5 deaths,75463,61800,87100
2005,Malaria,227764,202000,256000
2005,Other under-5 deaths,68164,56400,78300
2004,Malaria,218841,194000,244000
2004,Other under-5 deaths,69360,57800,79300
2003,Malaria,209317,185000,234000
2003,Other under-5 deaths,70438,58800,80600
2002,Malaria,205118,180000,232000
2002,Other under-5 deaths,78007,65200,89500
2001,Malaria,216948,190000,245000
2001,Other under-5 deaths,75254,63000,86800
2000,Malaria,218865,190000,254000
2000,Other under-5 deaths,73846,62700,87200
